timestamp,open,high,low,close,volume
2025-01-02,243.26,244.41,242.77,243.26,54321987
2025-01-03,242.77,244.41,241.63,242.77,49876543
2025-01-06,244.41,244.41,241.63,244.41,51234876
2025-01-07,241.63,242.12,239.00,241.63,53456123
2025-01-08,242.12,242.12,240.50,242.12,48765432
2025-01-10,236.28,237.00,235.50,236.28,61234567
2025-01-13,233.84,234.50,232.80,233.84,58765432
2025-01-14,232.72,233.90,231.50,232.72,55432109
2025-01-15,237.30,238.10,236.50,237.30,62345678
2025-01-16,227.71,228.90,226.50,227.71,59876543
2025-01-17,229.43,230.20,228.10,229.43,56543210
2025-01-21,222.10,223.50,221.00,222.10,63456789
2025-01-22,223.29,224.10,222.50,223.29,57890123
2025-01-23,223.12,224.00,222.00,223.12,54321098
2025-01-24,222.24,223.50,221.10,222.24,58765432
2025-01-27,229.31,230.50,228.00,229.31,60123456
2025-01-28,237.69,238.80,236.50,237.69,61234567
2025-01-29,238.78,239.90,237.50,238.78,59876543
2025-01-30,237.02,238.50,236.00,237.02,57654321
2025-01-31,235.43,236.80,234.50,235.43,63456789
